"","형상  														 REPO1","파일명","유형","라인 수","파일 크기(Byte)","파일CheckSum","코딩 규칙CheckSum","취약점CheckSum","보안성CheckSum","동적CheckSum","상태"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csproj.CoreCompileInputs.cache","신규","2","41","07e2a7a0","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csproj.FileListAbsolute.txt","신규","99","8390","7e4094e2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csproj.GenerateResource.cache","신규","10","1074","d34f3180","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csprojAssemblyReference.cache","신규","327","26537","ba232b52","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.csprojResolveAssemblyReference.cache","신규","189","21631","e6a922ec","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\Calculator.Properties.Resources.resources","신규","1","180","20435c3e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\DesignTimeResolveAssemblyReferences.cache","신규","33","1605","627c093d","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\DesignTimeResolveAssemblyReferencesInput.cache","신규","7","7058","262d11be","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\ResolveAssemblyReference.cache","신규","21","3344","e114962d","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\TemporaryGeneratedFile_036C0B5B-1481-4323-8D20-8F5ADCB23D92.cs","신규","1","0","00000000","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\TemporaryGeneratedFile_5937a670-0e60-4077-877b-f7221da3dda1.cs","신규","1","0","00000000","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\TemporaryGeneratedFile_E7A71F73-0F8D-4B9B-B56E-8E70B10BC5D3.cs","신규","1","0","00000000","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Debug\TempPE\Properties.Resources.Designer.cs.dll","신규","22","3584","d14713d8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\.NETFramework,Version=v4.5.2.AssemblyAttributes.cs","신규","5","210","bd8c61c8","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\build.force","신규","1","0","00000000","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.AboutBox2.resources","신규","5","9022","5fa74404","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.Calculator.resources","신규","15","13453","027a76c2","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.csproj.CoreCompileInputs.cache","신규","2","41","d069e042","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.csproj.FileListAbsolute.txt","신규","6","438","f9a7afc3","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.csproj.GenerateResource.cache","신규","10","1074","d34f3180","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\Calculator.Properties.Resources.resources","신규","1","180","20435c3e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\obj\Release\TempPE\Properties.Resources.Designer.cs.dll","신규","22","3584","cc77883e","미수행","미수행","비대상","미수행","불일치"
"","REPO1","\Calculator CSharp-master\Program.cs","신규","22","497","e3c9883c","미수행","미수행","비대상","미수행","불일치"
